code,name,year,month,temp_max,temp_min
BLZ.28603,Belize,1950,01,25.11,21.51
BLZ.28604,Cayo,1950,01,23.85,18.83
BLZ.28605,Corozal,1950,01,25.6,21.2
BLZ.28606,Orange Walk,1950,01,25.61,19.97
BLZ.28607,Stann Creek,1950,01,23.88,20.52
BLZ.28608,Toledo,1950,01,24.28,19.8
CRI.61981,Alajuela,1950,01,24.86,19.28
CRI.61982,Cartago,1950,01,19.66,12.82
CRI.61983,Guanacaste,1950,01,28.34,21.6
CRI.61984,Heredia,1950,01,24.1,18.53
CRI.61985,Limon,1950,01,23.38,17.69
CRI.61986,Puntarenas,1950,01,25.34,19.71
CRI.61987,San Jose,1950,01,22.46,16.14
GTM.10364821,Guatemala,1950,01,22.6,12.57
GTM.10364822,El Progreso,1950,01,21.86,13.46
GTM.10364823,Sacatepéquez,1950,01,22.73,12.08
GTM.10364824,Chimaltenango,1950,01,20.73,11.58
GTM.10364825,Escuintla,1950,01,27.8,19.38
GTM.10364826,Santa Rosa,1950,01,27.09,17.2
GTM.10364827,Sololá,1950,01,19.88,11.98
GTM.10364828,Totonicapán,1950,01,17.26,7.96
GTM.10364829,Quetzaltenango,1950,01,22.06,13.11
GTM.10364830,Suchitepéquez,1950,01,28.03,18.95
GTM.10364831,Retalhuleu,1950,01,29.24,20.78
GTM.10364832,San Marcos,1950,01,21.63,11.21
GTM.10364833,Huehuetenango,1950,01,19.46,9.69
GTM.10364834,Quiché,1950,01,19.87,12.24
GTM.10364835,Baja Verapaz,1950,01,20.74,13.22
GTM.10364836,Alta Verapaz,1950,01,22.66,16.56
GTM.10364837,Petén,1950,01,25.84,19.08
GTM.10364838,Izabal,1950,01,24.02,19.35
GTM.10364839,Zacapa,1950,01,22.61,16.56
GTM.10364840,Chiquimula,1950,01,22.27,15.65
GTM.10364841,Jalapa,1950,01,22.42,13.51
GTM.10364842,Jutiapa,1950,01,26.44,16.63
HND.1111420,Atlantida,1950,01,24.14,18.74
HND.1111421,Choluteca,1950,01,29.71,20.68
HND.1111422,Colon,1950,01,24.17,18.48
HND.1111423,Comayagua,1950,01,22.15,15.22
HND.1111424,Copan,1950,01,21.6,15.74
HND.1111425,Cortes,1950,01,24.24,18.6
HND.1111426,Francisco Morazan,1950,01,23.54,15.43
HND.1111427,Gracias A Dios,1950,01,25.31,20.77
HND.1111428,Intibuca,1950,01,22.74,14.77
HND.1111429,Islas De Bahia,1950,01,25.14,23.49
HND.1111430,La Paz,1950,01,24.67,15.66
HND.1111431,Lempira,1950,01,23.8,15.46
HND.1111432,Name Unknown,1950,01,25.65,24.33
HND.1111433,Ocotepeque,1950,01,21.87,14.61
HND.1111434,Olancho,1950,01,22.99,16.44
HND.1111435,Paraiso,1950,01,23.37,16.41
HND.1111436,Santa Barbara,1950,01,22.92,16.89
HND.1111437,Valle,1950,01,31.13,21.55
HND.1111438,Yoro,1950,01,23.47,15.7
NIC.1801,Boaco,1950,01,25.13,19.85
NIC.18010,Managua,1950,01,29.42,22.18
NIC.18011,Masaya,1950,01,27.76,21.35
NIC.18012,Matagalpa,1950,01,24.07,18.77
NIC.18013,Nueva Segovia,1950,01,22.69,16.91
NIC.18014,Región Autónoma del Caribe Norte,1950,01,25.35,20.52
NIC.18015,Región Autónoma del Caribe Sur,1950,01,25.29,21.13
NIC.18016,Río San Juan,1950,01,25.65,21.45
NIC.18017,Rivas,1950,01,25.99,22.96
NIC.1802,Carazo,1950,01,28.71,22.35
NIC.1803,Chinandega,1950,01,31.56,22.68
NIC.1804,Chontales,1950,01,25.36,20.75
NIC.1805,Estelí,1950,01,24.61,17.66
NIC.1806,Granada,1950,01,27.32,22.02
NIC.1807,Jinotega,1950,01,22.96,17.78
NIC.1808,León,1950,01,29.92,21.94
NIC.1809,Madriz,1950,01,24.06,17.11
PAN.1911,Bocas del Toro,1950,01,22.41,17.17
PAN.19110,Ngäbe Buglé,1950,01,24.09,19.1
PAN.19111,Panamá,1950,01,27.73,22.75
PAN.19112,Panamá Oeste,1950,01,28.07,22.52
PAN.19113,Veraguas,1950,01,27.99,21.66
PAN.1912,Chiriquí,1950,01,26.67,19.85
PAN.1913,Coclé,1950,01,27.18,21.73
PAN.1914,Colón,1950,01,26.74,22.65
PAN.1915,Darién,1950,01,27.96,21.51
PAN.1916,Emberá,1950,01,27.85,21.13
PAN.1917,Herrera,1950,01,29.41,21.4
PAN.1918,Kuna Yala,1950,01,27.01,23.33
PAN.1919,Los Santos,1950,01,28.53,22.02
SLV.751184,Ahuachapan,1950,01,27.96,19.79
SLV.751185,Cabanas,1950,01,30.46,18.94
SLV.751186,Chalatenango,1950,01,28.0,18.21
SLV.751187,Cuscatlan,1950,01,30.03,18.6
SLV.751188,La Libertad,1950,01,29.13,19.84
SLV.751189,La Paz,1950,01,29.2,21.53
SLV.751190,La Union,1950,01,30.78,20.8
SLV.751191,Morazan,1950,01,29.77,18.02
SLV.751192,San Miguel,1950,01,31.45,20.01
SLV.751193,San Salvador,1950,01,29.77,19.23
