code,name,year,month,temp_min
BLZ.28603,Belize,1950,01,127.28
BLZ.28604,Cayo,1950,01,94.06
BLZ.28605,Corozal,1950,01,116.86
BLZ.28606,Orange Walk,1950,01,102.94
BLZ.28607,Stann Creek,1950,01,154.67
BLZ.28608,Toledo,1950,01,119.41
CRI.61981,Alajuela,1950,01,119.43
CRI.61982,Cartago,1950,01,79.12
CRI.61983,Guanacaste,1950,01,19.06
CRI.61984,Heredia,1950,01,141.26
CRI.61985,Limon,1950,01,174.48
CRI.61986,Puntarenas,1950,01,136.1
CRI.61987,San Jose,1950,01,161.62
GTM.10364821,Guatemala,1950,01,16.25
GTM.10364822,El Progreso,1950,01,27.74
GTM.10364823,Sacatepéquez,1950,01,14.12
GTM.10364824,Chimaltenango,1950,01,26.25
GTM.10364825,Escuintla,1950,01,17.87
GTM.10364826,Santa Rosa,1950,01,14.2
GTM.10364827,Sololá,1950,01,21.76
GTM.10364828,Totonicapán,1950,01,26.23
GTM.10364829,Quetzaltenango,1950,01,46.18
GTM.10364830,Suchitepéquez,1950,01,30.78
GTM.10364831,Retalhuleu,1950,01,23.98
GTM.10364832,San Marcos,1950,01,34.96
GTM.10364833,Huehuetenango,1950,01,29.71
GTM.10364834,Quiché,1950,01,78.1
GTM.10364835,Baja Verapaz,1950,01,69.85
GTM.10364836,Alta Verapaz,1950,01,149.57
GTM.10364837,Petén,1950,01,61.64
GTM.10364838,Izabal,1950,01,195.85
GTM.10364839,Zacapa,1950,01,105.57
GTM.10364840,Chiquimula,1950,01,46.69
GTM.10364841,Jalapa,1950,01,11.15
GTM.10364842,Jutiapa,1950,01,4.48
HND.1111420,Atlantida,1950,01,71.92
HND.1111421,Choluteca,1950,01,2.72
HND.1111422,Colon,1950,01,94.45
HND.1111423,Comayagua,1950,01,52.12
HND.1111424,Copan,1950,01,134.82
HND.1111425,Cortes,1950,01,114.01
HND.1111426,Francisco Morazan,1950,01,28.01
HND.1111427,Gracias A Dios,1950,01,146.64
HND.1111428,Intibuca,1950,01,22.82
HND.1111429,Islas De Bahia,1950,01,91.4
HND.1111430,La Paz,1950,01,8.85
HND.1111431,Lempira,1950,01,27.58
HND.1111432,Name Unknown,1950,01,48.18
HND.1111433,Ocotepeque,1950,01,40.6
HND.1111434,Olancho,1950,01,84.78
HND.1111435,Paraiso,1950,01,50.4
HND.1111436,Santa Barbara,1950,01,112.16
HND.1111437,Valle,1950,01,0.35
HND.1111438,Yoro,1950,01,59.23
NIC.1801,Boaco,1950,01,79.62
NIC.18010,Managua,1950,01,2.69
NIC.18011,Masaya,1950,01,13.71
NIC.18012,Matagalpa,1950,01,83.14
NIC.18013,Nueva Segovia,1950,01,77.3
NIC.18014,Región Autónoma del Caribe Norte,1950,01,135.53
NIC.18015,Región Autónoma del Caribe Sur,1950,01,169.66
NIC.18016,Río San Juan,1950,01,148.93
NIC.18017,Rivas,1950,01,61.84
NIC.1802,Carazo,1950,01,7.38
NIC.1803,Chinandega,1950,01,1.07
